Date,Open,High,Low,Close,Adj Close,Volume
1973-05-01,1.479577,1.512702,1.468536,1.512702,0.016988,1267100
1973-06-01,1.501661,1.512702,1.468536,1.501661,0.016864,748300
1973-07-01,1.501661,1.534786,1.468536,1.490619,0.016740,1961900
1973-08-01,1.490619,1.501661,1.396765,1.440932,0.016182,1226100
1973-09-01,1.451973,1.512702,1.451973,1.512702,0.016988,1228700
1973-10-01,1.512702,1.628639,1.501661,1.589994,0.017856,1278200
1973-11-01,1.589994,1.589994,1.341557,1.341557,0.015066,974700
1973-12-01,1.341557,1.352599,1.302911,1.341557,0.015066,1618000
1974-01-01,1.341557,1.606556,1.341557,1.534786,0.017236,1241900
1974-02-01,1.545827,1.578952,1.479577,1.534786,0.017236,732600
1974-03-01,1.523744,1.595514,1.451973,1.468536,0.016492,745800
1974-04-01,1.479577,1.479577,1.352599,1.385724,0.015562,1196500
1974-05-01,1.385724,1.407807,1.236662,1.247703,0.014012,1405100
1974-06-01,1.247703,1.302911,1.153850,1.175933,0.013206,1242100
1974-07-01,1.175933,1.291870,1.109683,1.280828,0.014384,1178300
1974-08-01,1.280828,1.324995,1.076558,1.120725,0.012586,1708200
1974-09-01,1.098641,1.109683,0.971663,1.059996,0.011904,1459500
1974-10-01,1.076558,1.247703,1.059996,1.203537,0.013516,2541600
1974-11-01,1.203537,1.258745,1.153850,1.164891,0.013082,1020200
1974-12-01,1.153850,1.153850,1.026871,1.065517,0.011966,1221700
1975-01-01,1.076558,1.324995,1.076558,1.313953,0.014756,2794800
1975-02-01,1.313953,1.385724,1.291870,1.352599,0.015190,1450500
1975-03-01,1.352599,1.374682,1.324995,1.330516,0.014942,1853400
1975-04-01,1.330516,1.363640,1.302911,1.330516,0.014942,1513500
1975-05-01,1.324995,1.385724,1.324995,1.352599,0.015190,1733300
1975-06-01,1.352599,1.396765,1.302911,1.396765,0.015686,1617600
1975-07-01,1.396765,1.501661,1.385724,1.418849,0.015934,1062900
