Date,Open,High,Low,Close,Adj Close,Volume
1980-03-01,0.000000,0.197266,0.169922,0.173828,0.017944,5568000
1980-04-01,0.000000,0.214844,0.181641,0.207031,0.021371,14336000
1980-05-01,0.000000,0.246094,0.207031,0.234375,0.024194,20518400
1980-06-01,0.000000,0.275391,0.232422,0.267578,0.027621,20134400
1980-07-01,0.000000,0.298828,0.265625,0.281250,0.029032,18995200
1980-08-01,0.000000,0.300781,0.273438,0.289063,0.029839,12070400
1980-09-01,0.000000,0.316406,0.292969,0.306641,0.031653,16396800
1980-10-01,0.000000,0.349609,0.306641,0.318359,0.032863,17113600
1980-11-01,0.000000,0.324219,0.308594,0.316406,0.032661,10444800
1980-12-01,0.000000,0.328125,0.300781,0.322266,0.033266,12454400
1981-01-01,0.000000,0.337891,0.320313,0.320313,0.033065,9164800
1981-02-01,0.000000,0.326172,0.316406,0.318359,0.032863,8780800
1981-03-01,0.000000,0.328125,0.312500,0.322266,0.033266,9344000
1981-04-01,0.000000,0.369141,0.322266,0.361328,0.037298,41702400
1981-05-01,0.000000,0.394531,0.347656,0.390625,0.040323,24921600
1981-06-01,0.000000,0.486328,0.380859,0.455078,0.046976,53440000
1981-07-01,0.000000,0.464844,0.451172,0.455078,0.046976,30041600
1981-08-01,0.000000,0.460938,0.437500,0.439453,0.045363,18905600
1981-09-01,0.000000,0.437500,0.390625,0.417969,0.043145,26009600
1981-10-01,0.000000,0.468750,0.417969,0.464844,0.047984,12569600
1981-11-01,0.000000,0.494141,0.466797,0.478516,0.049395,18508800
1981-12-01,0.000000,0.486328,0.466797,0.482422,0.049798,12300800
1982-01-01,0.000000,0.531250,0.476563,0.529297,0.054637,17753600
1982-02-01,0.000000,0.554688,0.525391,0.550781,0.056855,15526400
1982-03-01,0.000000,0.556641,0.527344,0.537109,0.055444,18304000
1982-04-01,0.000000,0.587891,0.539063,0.583984,0.060282,18124800
1982-05-01,0.000000,0.595703,0.544922,0.544922,0.056250,7616000
1982-06-01,0.000000,0.568359,0.511719,0.564453,0.058266,22912000
1982-07-01,0.000000,0.568359,0.525391,0.525391,0.054234,26700800
1982-08-01,0.000000,0.591797,0.521484,0.587891,0.060686,19424000
1982-09-01,0.000000,0.714844,0.597656,0.707031,0.072984,48166400
1982-10-01,0.000000,0.777344,0.708984,0.771484,0.079637,26758400
1982-11-01,0.000000,0.912109,0.775391,0.869141,0.089718,26240000
1982-12-01,0.000000,0.878906,0.841797,0.863281,0.089113,14950400
1983-01-01,0.000000,0.851563,0.818359,0.818359,0.084476,12665600
1983-02-01,0.000000,0.917969,0.818359,0.916016,0.094557,27219200
1983-03-01,0.000000,1.066406,0.941406,1.056641,0.109073,25619200
1983-04-01,0.000000,1.279297,1.056641,1.242188,0.128226,17324800
1983-05-01,0.000000,1.296875,1.195313,1.250000,0.129032,14611200
1983-06-01,0.000000,1.492188,1.250000,1.460938,0.150806,10028800
1983-07-01,0.000000,1.476563,1.250000,1.250000,0.129032,11974400
1983-08-01,0.000000,1.210938,1.078125,1.132813,0.116936,12876800
1983-09-01,0.000000,1.132813,1.000000,1.000000,0.103226,12864000
1983-10-01,0.000000,1.070313,0.992188,0.992188,0.102419,13904000
1983-11-01,0.000000,1.078125,0.984375,1.054688,0.108871,8851200
1983-12-01,0.000000,1.078125,0.906250,0.906250,0.093548,12224000
1984-01-01,0.000000,1.062500,0.890625,1.039063,0.107258,19881600
1984-02-01,0.000000,1.046875,0.945313,0.992188,0.102419,12768000
1984-03-01,0.000000,1.054688,0.976563,1.000000,0.103226,10793600
1984-04-01,0.000000,1.078125,0.976563,1.070313,0.110484,11760000
1984-05-01,0.000000,1.117188,1.015625,1.015625,0.104839,10768000
1984-06-01,0.000000,1.093750,1.023438,1.062500,0.109677,13916800
1984-07-01,0.000000,1.070313,0.964844,0.988281,0.102016,13907200
1984-08-01,0.000000,1.164063,0.984375,1.156250,0.119355,16944000
1984-09-01,0.000000,1.257813,1.132813,1.250000,0.129032,14560000
1984-10-01,0.000000,1.265625,1.187500,1.265625,0.130645,28361600
1984-11-01,0.000000,1.367188,1.281250,1.359375,0.140323,9459200
1984-12-01,0.000000,1.445313,1.351563,1.437500,0.148387,12108800
1985-01-01,0.000000,1.546875,1.421875,1.546875,0.196110,20675200
1985-02-01,0.000000,1.734375,1.523438,1.632813,0.207005,12694400
1985-03-01,0.000000,1.679688,1.617188,1.625000,0.206014,7475200
1985-04-01,0.000000,1.726563,1.582031,1.710938,0.258808,20406400
1985-05-01,0.000000,2.078125,1.703125,2.039063,0.308442,25606400
1985-06-01,0.000000,2.140625,2.031250,2.093750,0.316714,6419200
1985-07-01,0.000000,2.101563,1.851563,1.906250,0.335697,22416000
1985-08-01,0.000000,2.046875,1.828125,1.906250,0.335697,11931200
1985-09-01,0.000000,1.921875,1.750000,1.882813,0.331569,12908800
1985-10-01,0.000000,2.109375,1.867188,2.109375,0.404613,19470400
1985-11-01,0.000000,2.593750,2.101563,2.453125,0.470551,16320000
1985-12-01,0.000000,2.609375,2.335938,2.578125,0.494527,17499200
1986-01-01,0.000000,2.796875,2.445313,2.734375,0.559091,14188800
1986-02-01,0.000000,3.171875,2.734375,3.164063,0.646949,9582400
1986-03-01,0.000000,3.265625,2.968750,3.000000,0.613403,10676800
1986-04-01,0.000000,3.507813,2.992188,3.390625,0.731801,15803200
1986-05-01,0.000000,3.406250,2.796875,3.226563,0.696392,17579200
1986-06-01,0.000000,3.609375,3.218750,3.546875,0.765524,12099200
1986-07-01,3.460940,3.554688,3.101560,3.109380,0.707146,14780800
1986-08-01,3.117188,3.312500,3.023438,3.250000,0.739126,7511200
1986-09-01,3.265625,3.281250,2.406250,2.734375,0.621862,20314400
1986-10-01,2.718750,3.187500,2.562500,3.187500,0.747436,37506400
1986-11-01,3.187500,3.515625,3.187500,3.281250,0.769419,23452800
1986-12-01,3.281250,3.281250,2.921875,2.921875,0.685149,19370400
1987-01-01,2.953125,3.968750,2.953125,3.828125,0.928777,36238400
1987-02-01,3.843750,3.953125,3.718750,3.921875,0.951522,18683200
1987-03-01,3.953125,4.515625,3.812500,4.187500,1.015968,21260000
1987-04-01,4.156250,4.343750,3.406250,3.500000,0.869103,20989600
1987-05-01,3.500000,3.859375,3.375000,3.656250,0.907903,11356000
1987-06-01,3.625000,3.984375,3.609375,3.781250,0.938942,11096800
1987-07-01,3.765625,3.828125,3.546875,3.593750,0.918125,18926400
1987-08-01,3.578125,4.406250,3.515625,4.140625,1.057841,25954400
1987-09-01,4.140625,4.187500,3.734375,3.765625,0.962036,7537600
1987-10-01,3.750000,3.750000,2.062500,2.765625,0.727364,24744000
1987-11-01,2.765625,2.859375,2.187500,2.250000,0.591754,35288000
1987-12-01,2.312500,2.609375,2.125000,2.500000,0.657504,26530400
1988-01-01,2.515625,2.937500,2.515625,2.859375,0.790188,20948000
1988-02-01,2.875000,3.265625,2.875000,3.171875,0.876548,16580000
1988-03-01,3.203125,3.250000,2.890625,2.953125,0.816096,30645600
1988-04-01,2.953125,2.968750,2.656250,2.750000,0.791457,39152800
1988-05-01,2.734375,2.828125,2.421875,2.718750,0.782463,23855200
1988-06-01,2.718750,3.062500,2.703125,3.031250,0.872401,39428800
1988-07-01,3.031250,3.281250,2.890625,3.281250,0.986802,21268800
1988-08-01,3.250000,3.296875,3.062500,3.125000,0.939812,17971200
1988-09-01,3.125000,3.359375,3.093750,3.328125,1.000899,16025600
1988-10-01,3.328125,3.421875,3.125000,3.171875,0.994186,29387200
1988-11-01,3.171875,3.296875,3.062500,3.140625,0.984391,10830400
1988-12-01,3.156250,3.343750,3.046875,3.312500,1.038263,20054400
1989-01-01,3.312500,3.578125,3.187500,3.562500,1.168994,25648800
